energy_kcal_value,energy_kj_value,carbohydrates_value,sugars_value,fat_value,saturated_fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova_group,nutrition_score_fr,fruits_vegetables_nuts_estimate_from_ingredients_100g,product_code,product_name,brands,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
18.76,1189.0,4.69,4.1,0.0,1.4,0.0,2.5,0.3725,0.149,2.0,7.0,0.0,3088542500285,Sirop d'érable ambré goût riche,Maple joe,0.0,Low Calories,High Sugar,No
274.0,1154.0,43.0,2.6,6.5,0.5,8.9,3.9,1.2,0.48,4.0,4.0,10.0333333333333,3760049791006,Tartines campagne 450g,La boulangere,0.06046511627906977,High Calories,Low Sugar,Yes
539.0,2252.0,57.5,56.3,30.9,10.6,6.3,2.5,0.11,0.044,4.0,31.0,13.0,4008400404127,Nutella,Ferrero,0.9791304347826086,High Calories,High Sugar,Yes
161.0,674.0,15.7,15.7,7.5,0.0,7.6,0.0,0.0,0.0,4.0,3.0,0.0,6111242101272,Muscly la force pour grandir,Jaouda,1.0,Moderate Calories,High Sugar,Yes
58.0,1189.0,1.4,1.0,4.9,3.3,1.5,2.5,0.0,0.0,4.0,19.0,2.47916666666666,8410510012196,Chocolat Noir 92% cacao,Dark Excellente,0.7142857142857143,Low Calories,Low Sugar,Yes
258.0,1089.0,43.0,5.0,4.5,0.5,8.3,6.3,1.0,0.4,4.0,2.0,4.5,4056489007180,pain de mie grandes tranches spécial sandwich complet,"Maître Jean Pierre, Lidl",0.11627906976744186,High Calories,Moderate Sugar,Yes
265.0,1118.0,43.0,0.5,4.9,0.6,9.5,5.5,0.84,0.336,3.0,1.0,0.260416666666668,4088600246291,Seeded Sourdough Bread,Specially Selected,0.011627906976744186,High Calories,Low Sugar,No
491.0,2058.0,62.0,28.0,23.0,12.0,5.9,3.5,1.2,0.48,4.0,28.0,0.0,7622210601988,Granola L'Original,"LU, Mondelez International",0.45161290322580644,High Calories,High Sugar,Yes
584.0,2435.0,57.0,36.8,38.1,7.6,2.9,0.8,0.54,0.216,4.0,26.0,7.12833333333333,5410126006957,Biscoff Creamy,Lotus,0.6456140350877192,High Calories,High Sugar,Yes
54.0,1189.0,13.0,5.5,0.1,0.0,0.4,0.1,2.5e-06,1e-06,4.0,4.0,64.25,6111242104198,PRESSup ORANGE 1L,jaouda,0.4230769230769231,Low Calories,Moderate Sugar,Yes
117.0,1189.0,23.7,9.0,0.4,0.0,4.6,3.0,1.0,0.4,3.0,-4.0,99.865,6111021090049,Concentré de tomates Aicha,Aicha,0.379746835443038,Moderate Calories,Moderate Sugar,No
73.0,1189.0,8.7,2.3,3.3,0.3,1.3,1.3,2.25,0.9,4.0,9.0,70.4,6111251753899,Olla,Olla,0.26436781609195403,Low Calories,Low Sugar,Yes
380.0,1591.0,75.0,7.9,2.8,1.0,11.0,5.4,1.6,0.64,4.0,10.0,0.0,3041090063206,Cracotte Céréales Complètes,"lu, LU",0.10533333333333333,High Calories,Moderate Sugar,Yes
504.0,1189.0,40.5,35.7,31.7,3.0,10.8,6.9,0.02,0.008,3.0,14.0,65.0,20815394,Fruit & Nut Mix,"Alesto,Lidl",0.8814814814814815,High Calories,High Sugar,No
362.0,1523.0,60.0,17.0,7.2,2.0,10.0,8.8,0.03,0.012,1.0,0.0,33.3125,5010477348678,Special Muesli 30% fruits & noix,Jordans,0.2833333333333333,High Calories,High Sugar,No
1.0,1189.0,0.3,0.0,0.0,0.0,0.2,2.5,0.0,0.0,4.0,7.0,0.17415,6111250470209,Missing,VIP,0.0,Low Calories,Low Sugar,No
329.0,1189.0,81.5,80.8,0.5,0.2,0.5,0.5,0.03,0.012,2.0,19.0,0.0,5011273040698,Runny Honey imp,Rowse,0.9914110429447852,High Calories,High Sugar,No
242.0,1189.0,15.1,4.1,6.2,1.4,5.7,2.5,785.0,314.0,1.0,0.0,0.0,6111035001024,Oulmès eau minerale naturellement gazeuse,ولماس ماء معدني غازي طبيعي,0.0,High Calories,High Sugar,No
